1月,,2月,,3月,,4月,,5月,,6月,,,,嘉兴地区年度目标数据,,,,,,,,,,,,,,,,,,
城市,已出货,城市,已出货,城市,已出货,城市,已出货,城市,已出货,城市,已出货,全年已出货,未出货,城市,项目,年度一档目标,Q1,1月,2月,3月,Q2,4月,5月,6月,Q3,7月,8月,9月,Q4,10月,11月,12月
嘉兴,49848 ,嘉兴,373345 ,嘉兴,1098924 ,嘉兴,282127 ,嘉兴,557563 ,嘉兴,154610 ,2516417 ,53803 ,,,,12.74%,0.71%,3.86%,8.17%,24.81%,7.15%,8.24%,9.42%,28.69%,8.4%,8.57%,11.72%,33.76%,8.73%,10.21%,14.82%
海盐,4335 ,海盐,20264 ,海盐,108491 ,海盐,12565 ,海盐,4870 ,海盐,11172 ,161697 ,435288 ,嘉兴/海宁/桐乡,出货目标,874 ,111 ,6 ,34 ,71 ,217 ,62 ,72 ,82 ,251 ,73 ,75 ,102 ,295 ,76 ,89 ,130 
桐乡,0 ,桐乡,0,桐乡,71245 ,桐乡,109418 ,桐乡,94018 ,桐乡,33223 ,307904 ,0 ,,实际完成,355 ,183 ,5 ,42 ,136 ,172 ,47 ,95 ,30 ,0 ,,,,0 ,,,
平湖,9370 ,平湖,19610 ,平湖,183044 ,平湖,43443 ,平湖,69028 ,平湖,138943 ,463438 ,33785 ,,完成率,41%,164%,80%,124%,190%,80%,76%,132%,36%,0%,0%,0%,0%,0%,0%,0%,0%
海宁,0 ,海宁,45348 ,海宁,187581 ,海宁,83042 ,海宁,306341 ,海宁,116847 ,739159 ,65970 ,,出货差额,519 ,(72),2 ,(9),(65),45 ,16 ,(23),53 ,251 ,74 ,75 ,103 ,296 ,77 ,90 ,130 
合计,63553 ,合计,458567 ,合计,1649285 ,合计,530595 ,合计,1031820 ,合计,454795 ,4188615 ,588846 ,,已下单未出货,11 ,0 ,0 ,0 ,0 ,11 ,0 ,0 ,11 ,0 ,,,,0 ,,,
嘉兴合计,49848 ,嘉兴合计,418693 ,嘉兴合计,1357750 ,嘉兴合计,474587 ,嘉兴合计,957922 ,嘉兴合计,304680 ,3563480 ,119773 ,海盐,出货目标,150 ,19 ,1 ,6 ,12 ,37 ,11 ,12 ,14 ,43 ,13 ,13 ,18 ,51 ,13 ,15 ,22 
4月,,4月,,4月,,4月,,5月,,6月,,,,,实际完成,16 ,13 ,0 ,2 ,11 ,2 ,1 ,0 ,1 ,0 ,,,,0 ,,,
城市,已出货,城市,已出货,城市,已出货,城市,已出货,城市,已出货,城市,已出货,全年已出货,未出货,,完成率,10%,70%,41%,35%,89%,6%,11%,0%,7%,0%,0%,0%,0%,0%,0%,0%,0%
嘉兴,4 ,嘉兴,37 ,嘉兴,109 ,嘉兴,28 ,嘉兴,55 ,嘉兴,15 ,251 ,5 ,,出货差额,135 ,6 ,1 ,4 ,2 ,36 ,10 ,13 ,14 ,44 ,13 ,13 ,18 ,51 ,14 ,16 ,23 
海盐,0 ,海盐,2 ,海盐,10 ,海盐,1 ,海盐,0 ,海盐,1 ,16 ,43 ,,已下单未出货,43 ,0 ,0 ,0 ,0 ,43 ,0 ,0 ,43 ,0 ,,,,0 ,,,
桐乡,0 ,桐乡,0 ,桐乡,7 ,桐乡,10 ,桐乡,9 ,桐乡,3 ,30 ,0 ,平湖,出货目标,176 ,22 ,1 ,7 ,14 ,44 ,13 ,15 ,17 ,50 ,15 ,15 ,21 ,59 ,15 ,18 ,26 
平湖,0 ,平湖,1 ,平湖,18 ,平湖,4 ,平湖,6 ,平湖,13 ,46 ,3 ,,实际完成,45 ,21 ,1 ,2 ,18 ,23 ,4 ,6 ,13 ,0 ,,,,0 ,,,
海宁,0 ,海宁,4 ,海宁,18 ,海宁,8 ,海宁,30 ,海宁,11 ,73 ,6 ,,完成率,25%,95%,75%,29%,127%,53%,35%,41%,78%,0%,0%,0%,0%,0%,0%,0%,0%
合计,6 ,合计,45 ,合计,164 ,合计,53 ,合计,103 ,合计,45 ,418 ,58 ,,出货差额,132 ,2 ,1 ,5 ,(4),21 ,9 ,9 ,4 ,51 ,15 ,16 ,21 ,60 ,16 ,18 ,27 
嘉兴合计,4 ,嘉兴合计,41 ,嘉兴合计,135 ,嘉兴合计,47 ,嘉兴合计,95 ,嘉兴合计,30 ,356 ,11 ,,已下单未出货,3 ,0 ,0 ,0 ,0 ,3 ,0 ,0 ,3 ,0 ,,,,0 ,,,
杭湖4月,,杭湖4月,,杭湖4月,,杭湖4月,,杭湖5月,,杭湖6月,,,,合计,出货目标,1200 ,153 ,9 ,46 ,98 ,298 ,86 ,99 ,113 ,344 ,101 ,103 ,141 ,405 ,105 ,123 ,178 
城市,已出货,城市,已出货,城市,已出货,城市,已出货,城市,已出货,城市,已出货,全年已出货,未出货,,实际完成,415 ,217 ,6 ,46 ,165 ,198 ,53 ,101 ,44 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
杭州,514715,杭州,782078.6,杭州,3529031.4,杭州,1770526.3,杭州,1571225,杭州,1022027,9189603.3,3868758,,完成率,35%,142%,75%,99%,168%,67%,62%,102%,39%,0%,0%,0%,0%,0%,0%,0%,0%
临安,7688.47,临安,62299,临安,213008,临安,82589,临安,85072,临安,49510,500166.47,16182,,出货差额,785 ,(65),3 ,1 ,(67),100 ,33 ,(3),70 ,345 ,101 ,103 ,141 ,406 ,105 ,123 ,178 
建德,1677.2,建德,25891,建德,8305,建德,10379.7,建德,0,建德,8699.25,54952 15,8132.25,,已下单未出货,57 ,0 ,0 ,0 ,0 ,57 ,0 ,0 ,57 ,0 ,,,,0 ,,,
富阳,0,富阳,134003,富阳,0,富阳,10,富阳,0,富阳,0,134013,2928,杭嘉湖合计,出货目标,7050 ,898 ,50 ,272 ,576 ,1749 ,504 ,581 ,664 ,2023 ,592 ,604 ,826 ,2380 ,615 ,720 ,1045 
萧山,55221,萧山,128941,萧山,201036,萧山,76753.5,萧山,217795.1,萧山,132283.2,812029.8,91983.15,,实际完成,1889 ,1011 ,64 ,266 ,681 ,878 ,341 ,355 ,182 ,0 ,,,,0 ,,,
桐庐,0,桐庐,182148.5,桐庐,434610,桐庐,72085,桐庐,159212,桐庐,21462,869517.5,216301,,完成率,27%,113%,128%,98%,118%,50%,68%,61%,27%,0%,0%,0%,0%,0%,0%,0%,0%
临平,0,临平,124402.85,临平,215168.95,临平,160103,临平,177805,临平,0,677479.8,294272,,出货差额,5161 ,(113),(14),7 ,(106),872 ,164 ,226 ,483 ,2023 ,593 ,605 ,827 ,2381 ,616 ,720 ,1045 
长兴,0,长兴,338226,长兴,280420,长兴,372227,长兴,0,长兴,0,990873,194405,,已下单未出货,541 ,0 ,0 ,0 ,0 ,541 ,0 ,0 ,541 ,0 ,,,,0 ,,,
湖州,8275,湖州,0,湖州,48963,湖州,252909,湖州,132449,湖州,0,442596,49504,,,,,,,,,,,,,,,,,,,
南浔,0,南浔,347406.04,南浔,23356.16,南浔,85526,南浔,56209,南浔,93302,605799.2,0,,,,,,,,,,,,,,,,,,,
德清,0,德清,28875,德清,203356,德清,0,德清,20830,德清,42792,295853,0,,,,,,,,,,,,,,,,,,,
安吉,0,安吉,60137,安吉,17659,安吉,0,安吉,101585,安吉,0,179381,93140,,,,,,,,,,,,,,,,,,,
杭湖合计,587576.67,杭湖合计,2214407.99,杭湖合计,5174913.51,杭湖合计,2883108.5,杭湖合计,2522182.1,杭湖合计,1370075.45,14697312.07,4835605.4,,,,,,,,,,,,,,,,,,,
杭湖4月,,杭湖4月,,杭湖4月,,杭湖4月,,杭湖5月,,杭湖6月,,,,,,,,,,,,,,,,,,,,,,
城市,已出货,城市,已出货,城市,已出货,城市,已出货,城市,已出货,城市,已出货,全年已出货,未出货,,,,,,,,,,,,,,,,,,,
杭州,51,杭州,78,杭州,352,杭州,177,杭州,157,杭州,102,918,386,,,,,,,,,,,,,,,,,,,
临安,0,临安,6,临安,21,临安,8,临安,8,临安,4,50,1,,,,,,,,,,,,,,,,,,,
建德,0,建德,2,建德,0,建德,1,建德,0,建德,0,#VALUE!,0,,,,,,,,,,,,,,,,,,,
富阳,0,富阳,13,富阳,0,富阳,0,富阳,0,富阳,0,13,0,,,,,,,,,,,,,,,,,,,
萧山,5,萧山,12,萧山,20,萧山,7,萧山,21,萧山,13,81,9,,,,,,,,,,,,,,,,,,,
桐庐,0,桐庐,18,桐庐,43,桐庐,7,桐庐,15,桐庐,2,86,21,,,,,,,,,,,,,,,,,,,
临平,0,临平,12,临平,21,临平,16,临平,17,临平,0,67,29,,,,,,,,,,,,,,,,,,,
长兴,0,长兴,33,长兴,28,长兴,37,长兴,0,长兴,0,99,19,,,,,,,,,,,,,,,,,,,
湖州,0,湖州,0,湖州,4,湖州,25,湖州,13,湖州,0,44,4,,,,,,,,,,,,,,,,,,,
南浔,0,南浔,34,南浔,2,南浔,8,南浔,5,南浔,9,60,0,,,,,,,,,,,,,,,,,,,
德清,0,德清,2,德清,20,德清,0,德清,2,德清,4,29,0,,,,,,,,,,,,,,,,,,,
安吉,0,安吉,6,安吉,1,安吉,0,安吉,10,安吉,0,17,9,,,,,,,,,,,,,,,,,,,
杭湖合计,58,杭湖合计,221,杭湖合计,517,杭湖合计,288,杭湖合计,252,杭湖合计,137,1469,483,,,,,,,,,,,,,,,,,,,
